Sentiment;Tweet
1;Aamiin....Allahumma Bp.Anies Baswedan terpilih jadi Presiden Indonesia THN p 2024.
1;  Koordinator Koalisi Perubahan dari Partai Keadilan Sejahtera (PKS) Sohibul Iman.  Secara resmi memberi dukungan kepada Anies Baswedan sebagai Calon Presiden untuk Pilpres 2024. 
-1;       Bener juga ya,Di era Pak   Gak di lirik sama sekali,tapi saya YAKIN Kalau Anies Baswedan TIDAK AKAN Pernah Jadi Presiden Indonesia
1;PKS Mendukung Anies Baswedan Menjadi Calon Presiden 2024 
1; Anies Baswedan Presiden Indonesia
1;PKS Siap Menang 2024 Bersama Calon Presiden RI 2024-2029 Bpk. Anies Baswedan.  
1; MANTAP....  IN SHAA ALLAH ANIES BASWEDAN PRESIDEN INDONESIA TAHUN 2024  أمين  أمين  أمين   يارب العالمين
0;Tim Anies Baswedan Bantah Ada Perjanjian dengan Prabowo Subianto Soal Pencalonan Presiden  
1; Mantaaap... InsyaaAllah thn 2024 Anies Baswedan Presiden RI.
-1;Walau sekarang didukung Demokrat dan PKS, ada empat alasan Anies Baswedan gak bakal bisa menang jadi presiden !!  
1;Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono memastikan partainya mendukung Anies Baswedan sebagai bakal calon presiden 2024. | Narasi Daily.   PDemokrat AgusYudhoyono 
1; Alhamdulillah, mudah Mudah'an anies baswedan di takdir kan oleh Allah SWT jadi presiden, aamiin YRA
1; ANIES BASWEDAN FOR PRESIDEN INDONESIA 2024
1; Alhamdulillah, mudah mudah an anies baswedan di takdirkan oleh Allah SWT jadi presiden, aamiin YRA
0;partai masing sudah punya capres sendiri, selain Anies. Waktu itu Demokrat, PKB dan PKS masih dalam rencana membentuk koalisi, yang diberi nama Koalisi Semut Merah. NasDem masih sendiri, namun sudah mengumumkan 3 nama bakal calon presiden, yakni Anies Baswedan, Andika Perkasa
1;    Mantap anies baswedan presiden rakyat indonesia  2024. Presiden elo mana?
1;"Wakil Ketua Majelis Syuro Partai Keadilan Sejahtera (PKS), Mohamad Sohibul Iman telah berkonsultasi dengan Ketua Majelis Syuro PKS, Salim Segaf Aljufri di Istanbul, Turki. Hasilnya, PKS secara resmi mengusung Anies Baswedan sebagai calon presiden (capres) pada 2024.  "" "
1;  Ngapain bahas buzzer laknatullah itu ayo kita pokus dukung pak anies baswedan jadi presiden
1; Nasdem - demokrat - pks  Gila kalian yak, syukur deh Harapan saya, pak anies baswedan terpilih jadi presiden, semoga banyak org gila dari rezim ini Jd gampang sortirnya
0;Sandiaga Uno mengungkapkan ada perjanjian atau kesepakatan antara Ketua Umum Partai Gerindra Prabowo Subianto dengan Anies Baswedan terkait pemilihan presiden (pilpres).  capres2024  pemilu2024  dekade08  mendingprabowo
1; Alhamdulillah harapan dan doa kita bersama semoga Allah permudahkan segala sesuatu nya siap bela pak anies baswedan jadi presiden di 2024
1;Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono memastikan partainya mendukung Anies Baswedan sebagai bakal calon presiden 2024. | Narasi Daily    AHY Pimpin Perubahan  
1; Saya anak Maluku siap berjuang utk Anies Baswedan presiden.
1;Bismillahi tawakalna'allahi, lahawla wala quwata illaa billah Anies Baswedan calon presiden RI 2024 mari bergerak, berjuang dan tawakal ke Allah semoga di ridhoi Allah aamiiin ya rab
1;Bakal calon presiden (capres) 2024 Anies Baswedan sudah menggenggam tiket Pilpres 2024 berdasarkan tiga dukungan partai politik (parpol). Tiga ketua umum parpol yakni dari Partai NasDem, Partai Demokrat (PD), dan PKS bakal teken keputusan resmi.  
1;PKS Dukung Anies Baswedan Setelah Mendapat Arahan Ketua Dewan Syura dan Presiden PKS 
1; Para bodat bekerja keras mengais sen demi sen dengan berbohong dan lidah penuh dusta. Semoga Pak Anies Baswedan sehat wal'afiyat dan makin jaya terpilih sebagai Presiden RI. Para bodat stress lalu bunuh diri atau pergi ke neraka jahannam. Aamiin.
1;PKS Dukung Anies Baswedan Setelah Mendapat Arahan Ketua Dewan Syura dan Presiden PKS 
1;PKS Nyatakan Dukungannya Terhadap Anies Baswedan Jadi Bakal Calon Presiden 2024 
1;Satu step dilalui, sudah 28% suara partai mendukung  ANIES BASWEDAN sebagai CALON Presiden RI di pilpres'24. Ada relawan Anies yg bergerak di pelosok negeri, Silaturahmi Anies ke Pelosok Negeri mendapat sambutan antusias. Inshaa Allah ini tanda kebaikan untuk kepemimpinan NKRI.👍
1;BREAKING NEWS: Partai Keadilan Sejahtera PKS Resmi Dukung Anies Baswedan Bakal Calon Presiden 2024  
-1;  Manusia Tidak punya Etika macam Anies Baswedan mau jadi PRESIDEN Indonesia,Di depan PRESIDEN saja nunjuk pakai tangan kiri
0;Namun, pada survei Elektabilitas Calon Presiden (Capres) dengan simulasi tertutup yang melibatkan 10 nama, Ridwan Kamil menduduki posisi ketiga setelah Anies Baswedan dan Ketua Umum Partai Gerindra Prabowo Subianto. 
1;PKS Dukung Anies Baswedan Jadi Calon Presiden 2024  lewat 
1; Anies Baswedan presiden nya, pak Prabowo sebaiknya king maker saja...
1;PARTAI Keadilan Sejahtera (PKS) secara resmi mengusung Anies Baswedan sebagai calon presiden (capres) pada pemilihan presiden (pilpres) 2024. Hal itu diungkapkan Wakil Ketua Majelis Syuro PKS Moh Sohibul Iman, Senin (30/1) malam.   
1;PKS Resmi Nyatakan Bakal Usung Anies Baswedan di Pilpres 2024. Menurut Sohibul, pihaknya menyatakan pernyataan tersebut untuk menjawab berbagai pertanyaan dari masyarakat terkait arah PKS terhadap pilihan presiden di 2024.  
1;Akhirnya Alhamdulillah..PKS memutuskan.... semoga semua halangan dan rintangan dapat di lalui, sehingga Insya Allah th.2024 Anies Baswedan presiden nya.. 
1;Partai Keadilan Sejahtera (PKS) memutuskan untuk mendukung Anies Baswedan sebagai bakal calon Presiden 2024. BEL  Selengkapnya di :  
1;Bergabung dengan Koalisi Perubahan bersama Nasdem dan Demokrat, PKS mengusung Anies Baswedan sebagai bakal calon presiden di Pemilu 2024. 
1; Muaaaaantaab...... Dukung presiden 2024 bapak Anies Baswedan...  Haaaai... Rakyat bangkitlah untuk menyongsong Indonesia yang lebih baik.. Berikan suaramu pada pemilu 2024 untuk partai-partai yang mengusung pak Anies Baswedan, yaitu Nasdem Demokrat dan PKS.....
1; Alhamdulillah.... Insyaallah untuk 10 tahun kedepan tidak akan ada kader PKS yg akan jadi presiden.... Insyaallah Anies Baswedan 2 periode...
1; Kita berdoa semoga kualisi yg dibangun benar-benar menjadi kekuatan yg mampu menjadikan Anies Baswedan Menjadi Presiden
1; Vamos pak anies baswedan presiden,, ga peduli ada perjanjian apa itu ktanya.. Toh yg jelas ngomong timbul tenggelam bersama rakyat aja mlah timbul sendiri.
1;PKS Mendukung Anies Baswedan Menjadi Calon Presiden 2024 
1;SAH!  PKS menyatakan secara resmi akan mengusung Anies Baswedan pada Pilpres 2024 selaku calon presiden.  
1;Bismillahi tawakkalna 'alallahi, Laa hawla walaa quwwata illaa billah...🤲 PKS RESMI usung Anies Baswedan sebagai calon Presiden RI 2024. Mohon izin sedulur, sebangsa dan se tanah air...🙏🙏🙏  
1;  Di Amerika, Barack Obama  yang hitam jadi persiden. Di Philipina, Qorazon Aquino yang Cina jadi peresiden. Di Peru, Fujimori yang Jepang jadi presiden. Dan di Indonesia Anies Baswedan yang Yaman jadi presiden. Kalau terjadi maka ini berita yang biasa saja.
1;Akhirnya Koalisi Perubahan mencalonkan Bapak Anies Baswedan sebagai Calon Presiden pada Pemilu 2024.. 
0;Bukan Anies Baswedan Apalagi bukan Puan Maharani, Tokoh yang Satu Ini Dianggap Bisa Lanjutkan Perjuangan Presiden Jokowi 
